Vote Name,Table Name,Sector,Approved Budget,released,spent,% Budget released,% budget spent,% releases spent
Arua Referral Hospital,GoU Expenditure by Item,221004  Recruitment Expenses, 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Arua Referral Hospital,GoU Expenditure by Item,221006  Commissions and related charges,0.05,0.05,0.05, 100.9%, 97.9%, 96.9%
Arua Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 115.4%, 62.3%, 54.0%
Arua Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.02,0.02,0.02, 103.4%,100.1%, 96.8%
Arua Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.03,0.03,0.03,79.8%, 78.2%, 98.0%
Arua Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.07,0.07,0.07,98.1%, 94.5%, 96.3%
Arua Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.08,0.08,0.07, 102.4%, 92.6%, 90.4%
Arua Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.00,0.00,0.00, 115.9%,100.0%, 86.3%
Arua Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00,75.0%, 50.0%, 66.7%
Arua Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.02,0.02,0.02, 103.1%, 87.9%, 85.2%
Arua Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00,0.00, 114.6%, 96.7%, 84.3%
Arua Referral Hospital,GoU Expenditure by Item,222003  Information and communications technology (ICT),0.00,0.00,0.00, 112.3%,103.2%, 91.9%
Arua Referral Hospital,GoU Expenditure by Item,223001  Property Expenses,0.04,0.04,0.03, 113.5%, 78.3%, 69.0%
Arua Referral Hospital,GoU Expenditure by Item,223003  Rent � (Produced Assets) to private entities, 0.01,0.01,0.00,85.3%, 47.8%, 56.0%
Arua Referral Hospital,GoU Expenditure by Item,223004  Guard and Security services,0.01,0.01,0.01, 102.7%, 86.9%, 84.6%
Arua Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.10,0.09,0.07,87.9%, 69.6%, 79.2%
Arua Referral Hospital,GoU Expenditure by Item,223006  Water,0.10,0.10,0.08,97.4%, 76.0%, 78.1%
Arua Referral Hospital,GoU Expenditure by Item,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.02,0.02,0.01, 106.2%, 49.0%, 46.1%
Arua Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation,0.11,0.11,0.11,99.2%, 97.8%, 98.6%
Arua Referral Hospital,GoU Expenditure by Item,"224005  Uniforms, Beddings and Protective Gear", 0.01,0.01,0.01,99.7%, 91.9%, 92.2%
Arua Referral Hospital,GoU Expenditure by Item,225001  Consultancy Services- Short term, 0.00,0.00,0.00, 100.0%,100.0%,100.0%
Arua Referral Hospital,GoU Expenditure by Item,227001  Travel inland,0.16,0.19,0.18, 116.3%,110.1%, 94.7%
Arua Referral Hospital,GoU Expenditure by Item,227002  Travel abroad,0.01,0.01,0.01,99.9%, 87.7%, 87.8%
Arua Referral Hospital,GoU Expenditure by Item,"227004  Fuel, Lubricants and Oils",0.11,0.13,0.13, 113.3%,113.1%, 99.8%
Arua Referral Hospital,GoU Expenditure by Item,228001  Maintenance - Civil,0.06,0.06,0.05, 101.7%, 90.0%, 88.5%
Arua Referral Hospital,GoU Expenditure by Item,228002  Maintenance - Vehicles, 0.03,0.03,0.03, 102.2%, 95.3%, 93.3%
Arua Referral Hospital,GoU Expenditure by Item,"228003  Maintenance � Machinery, Equipment & Furniture", 0.11,0.11,0.11,99.7%, 99.6%, 99.9%
Arua Referral Hospital,GoU Expenditure by Item,228004  Maintenance � Other,0.01,0.02,0.01, 109.9%,100.3%, 91.2%
Arua Referral Hospital,GoU Expenditure by Item,Output Class: Capital Purchases, 1.00,1.00,0.99, 100.0%, 99.1%, 99.1%
Arua Referral Hospital,GoU Expenditure by Item,231002 Residential buildings (Depreciation), 0.42,0.42,0.41, 100.0%, 97.9%, 97.9%
Arua Referral Hospital,GoU Expenditure by Item,231007 Other Fixed Assets (Depreciation),0.58,0.58,0.58, 100.0%,100.0%,100.0%
Arua Referral Hospital,GoU Expenditure by Item,Grand Total:,5.36,5.37,5.40, 100.2%,100.7%,100.5%
Arua Referral Hospital,GoU Expenditure by Item,Total Excluding Taxes and Arrears:,5.36,5.37,5.40, 100.2%,100.7%,100.5%
Arua Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 5.36, 5.37, 5.40, 100.2%,100.7%, 100.5%
Arua Referral Hospital,GoU Releases and Expenditure by Project and Programme,01 Arua Referral Hospital Services, 4.11, 4.13, 4.17, 100.5%,101.6%, 101.1%
Arua Referral Hospital,GoU Releases and Expenditure by Project and Programme,02 Arua Referral Hospital Internal Audit, 0.02, 0.02, 0.02, 123.3%,111.6%,90.5%
Arua Referral Hospital,GoU Releases and Expenditure by Project and Programme,03 Arua Regional Maintenance, 0.23, 0.22, 0.21,94.1%, 91.7%,97.4%
Arua Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Arua Rehabilitation Referral Hospital,1.00, 1.00, 0.99, 100.0%, 99.1%,99.1%
Arua Referral Hospital,Highlights of Vote Performance,Total For Vote,5.36, 5.37,5.40,100.2%,100.7%, 100.5%
Fort Portal Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,5.64, 5.21, 5.19, 92.5%, 92.1%,99.6%
Fort Portal Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,5.64, 5.21, 5.19, 92.5%, 92.1%,99.6%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 5.44, 5.06, 5.05,93.1%, 92.9%, 99.8%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 4.74, 4.36, 4.35,92.1%, 91.8%, 99.7%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 1.30, 1.41, 1.35, 108.5%,103.6%, 95.5%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.78, 0.68, 0.77,87.2%, 99.6%,114.3%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed, 0.19, 0.17, 0.15,89.8%, 79.7%, 88.7%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.27, 0.25, 0.22,89.8%, 80.8%, 89.9%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 1.95, 1.64, 1.66,84.1%, 85.0%,101.2%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.21, 0.20, 0.17,93.9%, 80.2%, 85.5%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.04, 0.02, 0.03,61.5%, 83.9%,136.4%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases,0.70, 0.70, 0.70, 100.0%,100.0%, 99.9%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085672 Government Buildings and Administrative Infrastructure, 0.04, 0.04, 0.04, 100.0%,100.0%,100.1%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085677 Purchase of Specialised Machinery & Equipment,0.10, 0.10, 0.10, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 0.56, 0.56, 0.56, 100.0%,100.0%, 99.9%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote, 5.44, 5.06, 5.05,93.1%, 92.9%, 99.8%
Fort Portal Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,4.74,4.36,4.35, 92.1%, 91.9%, 99.8%
Fort Portal Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 3.43,3.00,3.00,87.3%, 87.3%, 100.0%
Fort Portal Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.07,0.07,0.07, 100.9%,102.6%, 101.7%
Fort Portal Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.01,0.01,0.01, 100.9%,100.0%,99.1%
Fort Portal Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.01,0.01,0.01, 100.9%,100.0%,99.1%
Fort Portal Referral Hospital,GoU Expenditure by Item,213004  Gratuity Expenses,0.00,0.05,0.04,N/A, N/A,77.1%
Fort Portal Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Fort Portal Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Fort Portal Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.02,0.02,0.02, 100.9%,100.9%, 100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,221006  Commissions and related charges,0.01,0.01,0.01, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,221008  Computer supplies and Information Technology (IT, 0.03,0.03,0.03, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,221009  Welfare and Entertainment,0.08,0.08,0.08, 100.6%,100.0%, 99.4%
Fort Portal Referral Hospital,Highlights of Vote Performance,221010  Special Meals and Drinks, 0.08,0.08,0.08, 100.9%,100.0%, 99.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,"221011  Printing, Stationery, Photocopying and Binding", 0.04,0.04,0.04, 100.3%,100.0%, 99.7%
Fort Portal Referral Hospital,Highlights of Vote Performance,221012  Small Office Equipment, 0.00,0.00,0.00, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,221014  Bank Charges and other Bank related costs,0.01,0.01,0.01, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,222001  Telecommunications, 0.03,0.03,0.03, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,222002  Postage and Courier,0.00,0.00,0.00, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,223001  Property Expenses,0.03,0.03,0.03, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,223003  Rent � (Produced Assets) to private entities, 0.02,0.02,0.02, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,223004  Guard and Security services,0.01,0.01,0.01, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,223005  Electricity,0.11,0.11,0.11, 100.9%,105.4%,104.5%
Fort Portal Referral Hospital,Highlights of Vote Performance,223006  Water,0.02,0.02,0.02, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.06,0.06,0.06, 100.1%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,224004  Cleaning and Sanitation,0.09,0.09,0.09, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,"224005  Uniforms, Beddings and Protective Gear", 0.09,0.09,0.09, 100.9%,100.0%, 99.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,227001  Travel inland,0.09,0.09,0.09, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.11,0.11,0.11, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,228001  Maintenance - Civil,0.05,0.05,0.05, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.08,0.08,0.08, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.12,0.12,0.12, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,228004  Maintenance � Other,0.02,0.02,0.02, 100.0%,100.0%, 99.9%
Fort Portal Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 0.70,0.70,0.70, 100.0%,100.0%, 99.9%
Fort Portal Referral Hospital,Highlights of Vote Performance,231002  Residential buildings (Depreciation), 0.54,0.54,0.54, 100.0%,100.0%, 99.9%
Fort Portal Referral Hospital,Highlights of Vote Performance,231005  Machinery and equipment,0.10,0.10,0.10, 100.0%,100.0%,100.0%
Fort Portal Referral Hospital,Highlights of Vote Performance,231007  Other Fixed Assets (Depreciation),0.04,0.04,0.04, 100.0%,100.0%,100.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,"281504  Monitoring, Supervision & Appraisal of capital wor", 0.02,0.02,0.02, 100.0%,100.0%,100.1%
Fort Portal Referral Hospital,Highlights of Vote Performance,Grand Total:,5.44,5.06,5.05, 93.1%, 92.9%,99.8%
Fort Portal Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,5.44,5.06,5.05, 93.1%, 92.9%,99.8%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 5.44, 5.07, 5.05,93.2%, 92.9%,99.7%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Fort Portal Referral Hospital Services, 4.47, 4.12, 4.06,92.2%, 90.9%,98.6%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Fort Portal Referral Hospital Internal Audit, 0.01, 0.01, 0.01,98.5%, 94.1%,95.6%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Project and Programme,03  Fort Portal Regional Maintenance, 0.26, 0.24, 0.28,91.4%,108.0%, 118.1%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Fort Portal Rehabilitation Referral Hospital, 0.70, 0.70, 0.70, 100.0%,100.0%,99.9%
Fort Portal Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 5.44,5.07,5.05,93.2%, 92.9%,99.7%
Gulu Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,5.13, 4.62, 4.46, 90.2%, 86.9%,96.4%
Gulu Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,5.13, 4.62, 4.46, 90.2%, 86.9%,96.4%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 4.93, 4.42, 4.26,89.8%, 86.4%, 96.2%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 3.93, 3.53, 3.36,89.8%, 85.5%, 95.3%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 3.11, 2.79, 2.63,89.8%, 84.4%, 94.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.26, 0.24, 0.24,90.8%, 90.8%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed, 0.01, 0.01, 0.01,90.0%, 90.0%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.04, 0.04, 0.04,91.2%, 91.2%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 0.46, 0.41, 0.41,88.7%, 88.7%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.03, 0.03, 0.03,99.2%, 99.2%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.01, 0.01, 0.01,77.2%, 77.2%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases,1.00, 0.90, 0.90,89.8%, 89.8%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085680 Hospital Construction/rehabilitation, 0.04, 0.01, 0.01,32.5%, 32.5%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 0.96, 0.88, 0.88,92.2%, 92.2%,100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote, 4.93, 4.42, 4.26,89.8%, 86.4%, 96.2%
Gulu Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,3.93,3.53,3.36, 89.8%, 85.5%, 95.3%
Gulu Referral Hospital,GoU Expenditure by Item,211101 General Staff Salaries, 2.84,2.56,2.39,89.9%, 84.0%,93.5%
Gulu Referral Hospital,GoU Expenditure by Item,211103 Allowances, 0.05,0.05,0.05, 107.1%,107.1%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00,0.00,69.6%, 69.6%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.01,0.00,0.00,67.9%, 67.9%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.02,0.02,0.02,96.7%, 96.7%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.02,0.02,0.02,72.0%, 72.0%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.01,0.01,0.01, 114.9%,114.9%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.03,0.03,0.03, 102.1%,102.1%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.03,0.03,0.03,86.2%, 86.2%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.00,0.00,0.00,93.9%, 93.9%, 100.0%
Gulu Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs,0.01,0.01,0.01,93.2%, 93.2%, 100.0%
Gulu Referral Hospital,Highlights of Vote Performance,221017  Subscriptions,0.00,0.00,0.00,90.6%, 90.6%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,222001  Telecommunications, 0.01,0.01,0.01,98.3%, 98.3%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,222002  Postage and Courier,0.00,0.00,0.00, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,223001  Property Expenses,0.10,0.09,0.09,92.8%, 92.8%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,223003  Rent � (Produced Assets) to private entities, 0.01,0.00,0.00,68.4%, 68.4%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,223005  Electricity,0.02,0.02,0.02, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,223006  Water,0.32,0.26,0.26,82.2%, 82.2%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.02,0.02,0.02, 103.6%,103.6%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,223901  Rent � (Produced Assets) to other govt. units,0.01,0.00,0.00,67.9%, 67.9%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,224001  Medical and Agricultural supplies,0.00,0.01,0.01,N/A, N/A,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,224004  Cleaning and Sanitation,0.09,0.10,0.10, 102.1%,102.1%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,225001  Consultancy Services- Short term, 0.00,0.00,0.00, 106.4%,106.4%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,227001  Travel inland,0.07,0.06,0.06,80.0%, 80.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,227002  Travel abroad,0.02,0.01,0.01,67.1%, 67.1%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.06,0.06,0.06,96.1%, 96.1%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,228001  Maintenance - Civil,0.06,0.05,0.05,86.2%, 86.2%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.04,0.03,0.03,82.1%, 82.1%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.06,0.05,0.05,84.0%, 84.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,228004  Maintenance � Other,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,282151  Fines and Penalties � to other govt units,0.00,0.00,0.00,N/A, N/A,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 1.00,1.00,1.00, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,231001 Non Residential buildings (Depreciation), 0.04,0.04,0.04, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,231002 Residential buildings (Depreciation), 0.87,0.87,0.87, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,281503 Engineering and Design Studies & Plans for capital, 0.05,0.05,0.05, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,"281504 Monitoring, Supervision & Appraisal of capital wor", 0.04,0.04,0.04, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.07,0.07,0.07, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,321614 Electricity arrears (Budgeting),0.07,0.07,0.07, 100.0%,100.0%,100.0%
Gulu Referral Hospital,Highlights of Vote Performance,Grand Total:,5.00,4.60,4.43, 92.0%, 88.6%,96.4%
Gulu Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,4.93,4.52,4.36, 91.9%, 88.5%,96.3%
Gulu Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 4.93, 4.42, 4.26,89.8%, 86.4%,96.2%
Gulu Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Gulu Referral Hospital Services,3.74, 3.38, 3.21,90.4%, 85.9%,95.1%
Gulu Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Gulu Referral Hospital Internal Audit,0.02, 0.01, 0.01,71.7%, 71.7%, 100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Project and Programme,03  Gulu Regional Maintenance,0.17, 0.13, 0.13,78.8%, 78.8%, 100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Gulu Rehabilitation Referral Hospital,1.00, 0.90, 0.90,89.8%, 89.8%, 100.0%
Gulu Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 4.93,4.42,4.26,89.8%, 86.4%,96.2%
Hoima Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,4.65, 4.51, 4.46,97.0%, 95.9%, 98.8%
Hoima Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,4.65, 4.51, 4.46,97.0%, 95.9%, 98.8%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 4.62, 4.51, 4.46,97.7%, 96.5%, 98.8%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 3.42, 3.31, 3.26,96.8%, 95.3%, 98.4%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 2.66, 2.56, 2.55,96.3%, 95.8%, 99.5%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.17, 0.17, 0.16,97.7%, 92.3%, 94.5%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed, 0.02, 0.02, 0.02, 100.0%, 95.1%, 95.1%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.02, 0.02, 0.02, 100.0%, 92.0%, 92.0%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 0.36, 0.35, 0.34,98.3%, 95.6%, 97.3%
Hoima Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.14, 0.14, 0.13, 101.3%, 91.5%, 90.3%
